Registry,Assignment,Organization Name,Organization Address
MA-M,741AE09,Private,
MA-M,C85CE27,SYNERGY SYSTEMS AND SOLUTIONS,"A1526, GREEN FIELDS COLONY Faridabad HARYANA IN 121001 "
MA-M,C85CE2A,"San Telequip (P) Ltd.,","504 505 Deron Heights, Baner Road, Baner Pune Maharashtra IN 411045 "
MA-M,B84C874,Blum Novotest GmbH,Kaufstraße 14 Gruenkraut  DE 88287 
MA-M,B84C879,Airgain Inc.,"3611 Valley Centre Dr, Ste 150 San Diego CA US 92130 "
MA-M,D0D94F7,"Mitsubishi Electric US, Inc.",1340 Satellite Boulevard Suwanee GA US 30345 
MA-M,C022F12,TSURUGA Electric Corporation,Minami shimiyoshi 1-3-23 Sumiyoshi ward Osaka JP 558-0041 
MA-M,C022F15,"Canon Electronic Business Machines (H.K.) Co., Ltd.","17/F., Tower 1, Ever Gain Plaza, 82-100 Container Port Road Kwai Chung  HK 000000 "
MA-M,C022F17,Shenzhen Chengfenghao Electronics Co.;LTD.,"1-3F,101 Building,Unit A,No.2,Longhe industrial zone, Longgang town, Longgang district,Shenzhen, Guangdong, 518116, China  Shenzhen Guangdong CN 518116 "
MA-M,48DA353,"Xiamen Magnetic North Co., Ltd","Room 903?Building 2, Baitong Technology Park, 199 Fengqi Road, Jimei District Xiamen Fujian CN 361000 "
MA-M,48DA35C,"Guangzhou Xinhong Communication Technology Co.,Ltd","Unit 1303, Building B2, Creative Building, No. 162 Science Avenue, Guangzhou Development Zone Guangzhou  CN 51000 "
MA-M,C022F19,MAHINDR & MAHINDRA,"Electric Aggregate Plant, Gate No. – A/B, Plot No. A-1, Phase IV,  Chakan MIDC, Pune, Chakan, Taluka – Khed  Pune Maharashtra IN 410501 "
MA-M,C022F1B,Lafayette AB,Korpralsgatan 5B 41505 Gothenburg  SE 41505 
MA-M,5491AFC,DanuTech Europe Kft,Gulyás utca 24/1 Budapest  HU 1112 
MA-M,D015BBD,Bluewaves Mobility Innovation Inc,Unit 402-105 Gordon Baker Rd Toronto  Ontario CA M2H3P8 
MA-M,48DA351,Think Engineering,3-16-15 Jiyugaoka Meguro-ku Tokyo-to JP 152-0035 
MA-M,5491AF3,IronLink,2 Astor Irvine CA US 92618 
MA-M,88A6EF6,ShenZhen KZIot Technology LLC.,"12th Floor, Block A, Kelu Building, Baoshen Road, Songpingshan Community, Xili Street, Nanshan District, Shenzhen GuangDong CN 518000 "
MA-M,88A6EFD,Hash Mining s.r.o.,Ceskomoravska 142/18 Praha  CZ 19000 
MA-M,38B8EBB,PEZY Computing K.K.,"5F Chiyodaogawamachi Crosta, 1-11 Kanda Ogawamachi Chiyoda-ku Tokyo JP 101-0052 "
MA-M,88A6EF8,TechPLEX Inc.,"16, Deongmyeong-ro 71, Yuseong-gu Daejeon  KR 34155 "
MA-M,50482C9,Soter Technologies,101 Comac St Ronkonkoma NY US 11779 
MA-M,50482CD,"KIDO SPORTS CO., LTD.","Kido Building, 395 Gonghang-daero, Gangseo-gu Seoul Seoul KR 07590 "
MA-M,68DA73A,"Shenzhen Haiyingzhilian Industrial Co., Ltd.",2-5/F? #8FactoryBld?Yu'an Factory Area ?LongchengIndustryPark?Gao feng Community ?Dalang Street ?LonghuaDisrict Shenzhen Guangdong CN 518000 
MA-M,68DA739,"Nadex Machinery(Shanghai) Co.,Ltd",No. 815 Shen Fu Road Xinzhuang Industry Park Shanghai  CN 201108 
MA-M,58C41EC,"PQTEL Network Technology Co. , Ltd.","No. 207, Building A4, Lugu Enterprise Plaza, No. 27 Wenxuan Road ChangSha Hunan CN 410205 "
MA-M,58C41ED,Munich Electrification GmbH, Landaubogen 1 Munich  DE 81373 
MA-M,C86BBC6,Drowsy Digital Inc,1 COOK ST WESTBOROUGH MA US 01581 
MA-M,BC3198E,RADAR," 15150 Avenue of Science, suite 200 San Diego CA US 92128 "
MA-M,BC31989,"Baisstar (Shenzhen) Intelligence Co., Ltd.","4 Floor, Building A2, Hengli Industrial Park, No. 168, Xiakeng 1st Road,  Longgang District, Shenzhen Guangdong CN 518000 "
MA-M,BC31985,"Hunan Gukam Railway Equipment Co.,Ltd","Room603, Building E4, Yunlong HeadQuarters Economic Park, No.5099 Yunlong Avenue, Yunlong Demonstration Zone, Zhuzhou City Zhuzhou  CN 430200 "
MA-M,BC3198B,"Suzhou Anchi Control system.,Co.Ltd","Building 7, Industrial Park, No.38 North Guandu Road, Wuzhong District, Suzhou Suzhou  CN 320500 "
MA-M,C86BBC9,Osee Technology LTD.,"No.22 Building, No.68 zone, Beiqing Road, Haidian District Beijing Beijing CN 100094 "
MA-M,BC34000,Redvision CCTV,"Alpha House, Blacknest Road, Blacknest Alton Hampshire GB GU34 4PX "
MA-M,B0FF721,"Guangzhou Senguang Communication Technology Co., Ltd","Room 4141, No. 11 Chunhui Street, Tongtai Road, Baiyun District, Guangzhou. Guangzhou Guangdong CN 510000 "
MA-M,1C21D18,"Cleaveland/Price, Inc.",14000 Route 993 Trafford PA US 15085 
MA-M,B0FF725,"Shenzhen Ruilian Electronic Technology Co.,Ltd","Kanatomi Lai Business Building, Block A, 1018,49-1 Dabao Road, Xinan Street, Bao'an District, Shenzhen  CN 518101 "
MA-M,B0FF724,"Jiangxi Xingchi Electronic Technology Co.,Ltd.","Building B7, Xiaoju Industrial Park, Zhuliang Town, Nancheng County, Fuzhou City,  Fuzhou  CN 344000 "
MA-M,90F4213,"Sinpeng(Guangzhou)Technology Co.,Ltd","Room 601, Haige Wireless Technology Building, No.8 Nanxiang Third Road, Science City, Huangpu District, Guangzhou Guangzhou Guangdong CN 510000 "
MA-M,FCCD2F5,"QCTEK CO.,LTD.","3F., No.212, Sec. 1, Sanmin Rd., Banqiao Dist. New Taipei City New Taipei City TW 220 "
MA-M,B44D43E,GearUP Portal Pte. Ltd.,"1 Raffles Quay, Level 49 Singapore  SG 048583 "
MA-M,6C2ADF3,"Johnson Controls IR, Sabroe Controls",Christian X's vej 201 Højbjerg  DK 8270 
MA-M,6C2ADF6,ITI Limited,ITI Limited Mankapur Mankapur Uttar Pradesh IN 271308 
MA-M,7006922,"Scud (Fujian) Electronics Co.,Ltd","NO.98 ,EAST ROAD OF JIANGBIN ,MAWEI ZONE,FUZHOU FUZHOU  CN 350000 "
MA-M,700692B,"SWIT Electronics Co.,Ltd","10 Hengtong Rd,Nanjing Economic Technological Development Zone Nanjing Jiangsu CN 210038 "
MA-M,7006926,Hangzhou Clounix Technology Limited,"Floor 12, Building 2, Zichen International Center, NO.39, Jincheng Road, Xiaoshan District Hangzhou Zhejiang CN 311202 "
MA-M,700692E,Ganghsan Guanglian,"3F,Block C,Building 11,Heshakeng Industrial park,Buji Town,Longgang Dist. Shenzhen  CN 518112 "
MA-M,7006929,"Shenzhen Lingwei Technology Co., Ltd","No. 50-1, Minqing Road, Longhua District Shenzhen Guangdong Province CN 518109 "
MA-M,7006924,Fusiostor Technologies Private Limited,"GALA NO.7, MUNERVA IND ESTATE, BISHAN UDYOG MUMBAI Maharashtra IN 400080 "
MA-M,6C2ADFA,JBF,via goretta 90 mappano torino IT 10079 
MA-M,E03C1C5,Semic Inc.,"17F.-6, No. 79, Sec. 1, Xintai 5th Rd., Xizhi Dist. New Taipei City  TW 22101 "
MA-M,54083BD,BHS Corrugated Maschinen- und Anlagenbau GmbH,Paul-Engel-Strasse 1 Weiherhammer Bavaria DE 92729 
MA-M,54083BC,FairPhone B.V.,VanDiemenstraat 200 Amsterdam  NL 1013 CP 
MA-M,F40E11F,Private,
MA-M,885D90F,Private,
MA-M,54083BE,Sinclair Technologies,85 MARY ST AURORA Ontario CA L4G 6X5 
MA-M,54083BB,Korea Bus Broadcasting,"7F, 24, Bangbaejungang-ro, Seocho-gu Seoul  KR 06684 "
MA-M,A44F29F,Private,
MA-M,F80278F,Private,
MA-M,B01F81F,Private,
MA-M,B437D1F,Private,
MA-M,E81863F,Private,
MA-M,B0C5CAF,Private,
MA-M,3C39E7F,Private,
MA-M,E03C1CD,Sprintshield d.o.o.,Ulica Marina Getaldica 3 Velika Gorica  HR 10410 
MA-M,E03C1CA,MELAG Medizintechnik GmbH & Co. KG,Geneststraße 6-10 Berlin Berlin DE 10829 
MA-M,D016F0C,Peralex Electronics (Pty) Ltd,"5 Dreyersdal Road, Unit C, Conberg House Bergvliet Western Cape ZA 7945 "
MA-M,D016F00,"Shenzhen Lesingle Technology CO., LTD.","First Floor,Te’an Building, No.15 Kejibei Second Road, Nanshan District Shenzhen  CN Guangdong "
MA-M,D09395B,Invendis Technologies India Pvt Ltd,#230 BOOHBCS Layout BTM 2nd Stage 38th MAIN 1ST CROSS Bengaluru Karnataka IN 560068 
MA-M,E03C1C8,"Jiangsu Riying Electronics Co.,Ltd.","Hengshanqiao,Changzhou,Jiangsu,China Changzhou  CN 213119 "
MA-M,D093956,Annapurna labs,"Matam Scientific Industries Center,   Building 8.2 Mail box 15123 Haifa IL 3508409 "
MA-M,5C6AECB,Shenzhen Anked vision Electronics Co.Ltd,"302, floor 3 of Yingfeituo Factory, Guanlan High tech Zone, Longhua District, Shenzhen City, Shenzhen  CN 518000 "
MA-M,5C6AEC2,"Shenzhen Mingyue Technology lnnovation Co.,Ltd","Longhua District, Shenzhen City, Tenglong Road, Dalang Street, gold Digi e-commerce Room 1401, Block A, Building Shenzhen - None - CN 518000 "
MA-M,5C6AEC1,"Shanghai Smilembb Technology Co.,LTD","Room 602, Building 8, No.1, Guangyue Branch Road, Hongkou District Shanghai  Shanghai CN 200434 "
MA-M,7C45F9D,Mobilaris Industrial Solutions,Mobilaris Innovation Center Sundsbacken 6 LULEÅ  SE 97242 
MA-M,7C45F99,MIJ CO LTD,"ROOM 204 882, Baksa-ro, Seo-myeon, chuncheon-si, Gangwon-do, Republic of korea chuncheon-si Gangwon-do KR 24461 "
MA-M,5C6AECD,DarkVision Technologies Inc.,40 Gostick Place North Vancouver British Columbia CA V7M 3G3 
MA-M,C0EAC36,Worldpass industrial Company Limited ,"3, Xingfa South Road, Liwu Village, Wusha District, Chang'an Town, Dongguan City,  China Guang dong province  CN 523857 "
MA-M,C0EAC31,"Dongguan Wecxw CO.,Ltd.","Room 2201, building 1, No. 16, Keji 4th Road, Songshanhu, Dongguan City, Guangdong Province Dongguan Guangdong CN 523429 "
MA-M,C0EAC33,"Hangzhou Qixun Technology Co., Ltd","Room A313, Building B, Shangzao Park, Puyan Sub-district, Binjiang District Hangzhou Zhejiang CN 310000 "
MA-M,8C5DB26,SmartMore Corporation Limited,"Bld 3E, No.3 Science Park East Avenue, N.T. Hong Kong Select State HK HKG "
MA-M,C0EAC3B,SeongHo Information and Communication Corp.,"26 Hyangmokseo-gil, Jukwang-myeon, Goseong-gun, Gangwon-do, Republic of Korea  Goseong-gun Gangwon-do KR 24743 "
MA-M,8C5DB28,"Guangzhou Phimax Electronic Technology Co.,Ltd"," ROOM 2806 ZHONGLV BUILDING WEST, QIAOLIN STREET 43, TIANHE DISTRICT Guangzhou Guangdong CN 510000 "
MA-M,8C5DB29,ISSENDORFF KG,Wellweg 93 Sarstedt Lower Saxony DE 31157 
MA-M,8C5DB2D,"Guandong Yuhang Automation Technology Co.,Ltd",Daliang Baojian Road N0.99 Foshan Guangdong CN 528300 
MA-M,8C5DB21,DAYOUPLUS,"3F 509, Dunchon-daero, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republic of Korea Seongnam-si Gyeonggi-do KR 13217 "
MA-M,705A6F2,Tyromotion GmbH,Bahnhofgürtel 59 Graz Styria AT 8020 
MA-M,705A6F0,Thyracont Vacuum Instruments GmbH,Max-Emanuel-Str. 10 Passau Bavaria DE 94036 
MA-M,C4A559E,SERNET (SUZHOU) TECHNOLOGIES CORPORATION,"NO.8 Tangzhuang Road,Suzhou Industrial Park,Su ZhouCity,JiangSu Province,China Suzhou  CN 215021 "
MA-M,705A6F8,"LUAN Industry and Commerce Co., Ltd","Jinying Building, No 1, Jinying Road, Tianhe District Guangzhou Guangdong CN 510640 "
MA-M,705A6FD,PICadvanced SA,PCI Creative Science Park  Via do Conhecimento Ed Central Ilhavo Aveiro PT 3830-352 
MA-M,705A6F4,"Vaiotik Co., Ltd",GaoXinQi in Hi-Tech Park Shenzhen  CN 518000 
MA-M,C4A559B,SMH Technologies SRL,Via Giovanni Agnelli n.1 Villotta di Chions Pordenone IT 33083 
MA-M,84B3869,Weiss Robotics GmbH & Co. KG,Karl-Heinrich-Kaeferle-Str. 8 Ludwigsburg  DE 71640 
MA-M,C4A5593,"X-speed lnformation Technology Co.,Ltd","th Floor,Building 2,Xinyu Electronic Industrial Park,No.69, Zhaishan,Houshan Village, High-tech Zone,Fuzhou,Fujian ,China Fuzhou  CN 350000 "
MA-M,E0382D2,"Xi'an Xiangxun Technology Co., Ltd.","Room 112, No. 1 Workshop, AVIC Xi'an Computing Technology Research Institute, No. 15, Jinye Second Road, Xi'an Xi'an Shaanxi CN 710076 "
MA-M,E0382D8,"Shenzhen iTest Technology Co.,Ltd","5C building 1, Tingwei Industrial Park, No.6 Liufang Road, Area 67, Xingdong community, Xin’an street, Bao’an District, Shenzhen, China SHENZHEN  CN 518000 "
MA-M,0CCC473,"Shimane Masuda Electronics CO.,LTD.",320-97 Muso Masuda Shimane JP 6982144 
MA-M,E0382D1,Annapurna labs,"Matam Scientific Industries Center,   Building 8.2 Mail box 15123 Haifa IL 3508409 "
MA-M,84B3864,COBHAM,9404 CHESAPEAKE DR  SAN DIEGO CA US 92123 
MA-M,0CCC479,OptConnect,"865 W 450 N, #1 Kaysville UT US 84037 "
MA-M,C083597,"Fuzhou Fdlinker Technology Co.,LTD","28th floor, Building 1, area F, Fuzhou software park, 89 Ruanjian Avenue Fuzhou Fujian CN 350001 "
