Registry,Assignment,Organization Name,Organization Address
MA-L,286FB9,"Nokia Shanghai Bell Co., Ltd.","No.388 Ning Qiao Road,Jin Qiao Pudong Shanghai Shanghai   CN 201206 "
MA-L,08EA44,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,F4EAB5,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,B87CF2,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,E0A129,Extreme Networks Headquarters,2121 RDU Center Drive Morrisville NC US 27560 
MA-L,A8C647,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,A473AB,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,0C9B78,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,A4C7F6,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,B42D56,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,887E25,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,001977,Extreme Networks Headquarters,2121 RDU Center Drive  Morrisville NC US 27560 
MA-L,38E2CA,Katun Corporation,7760 France Ave S Suite 340 Bloomington MN US 55438 
MA-L,B05B99,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
MA-L,E80AB9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,78465F,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road Wuhan Hubei CN 430074 
MA-L,9075DE,Zebra Technologies Inc.,ONE ZEBRA PLAZA HOLTSVILLE NY US 11742 
MA-L,80BA16,Micas Networks Inc.," 250 Tasman Drive, Ste 170, San Jose, CA 95134 San Jose CA US 95134 "
MA-L,10E992,INGRAM MICRO SERVICES,100 CHEMIN DE BAILLOT MONTAUBAN  FR 82000 
MA-L,78F276,Cyklop Fastjet Technologies (Shanghai) Inc.,"No 18?Lane 699, Zhang Wengmiao Rd,  Fengxian district, Shanghai China Shanghai  CN 201401 "
MA-L,20F83B,"Nabu Casa, Inc.","8 The Green, Suite 12630 Dover DE US 19901 "
MA-L,F01B24,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,B84C87,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,E4F14C,Private,
MA-L,10061C,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,E00630,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,04D168,"Sunplus Technology Co., Ltd.","19, Innovation First Road, Hsinchu Science Park Hsinchu  TW 300 "
MA-L,644C69,CONPROVE,"75, Visconde de Ouro Preto St. Uberlândia Minas Gerais BR 38405-202 "
MA-L,DCD160,"Tianjin Changdatong Technology Co.,LTD","Unit 601, 602, Building 1, Zhongxing Industrial Base, No. 2 East 7th Road, Tianjin Pilot Free Trade Zone (Airport Economic Zone) Tianjin  CN 300308 "
MA-L,644ED7,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,9CE330,Cisco Meraki,500 Terry A. Francois Blvd San Francisco  US 94158 
MA-L,04A959,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District Hangzhou Zhejiang CN 310052 "
MA-L,0CB983,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District  Shenzhen  Guangdong CN 518040 "
MA-L,2CB301,"Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District  Shenzhen  Guangdong CN 518040 "
MA-L,000E72,Arca Technologies S.r.l.,via Statale 17 Bollengo Torino IT 10012 
MA-L,E0C2B7,Masimo Corporation,52 Discovery Irvine CA US 92618 
MA-L,C88BE8,Masimo Corporation,52 Discovery Irvine CA US 92618 
MA-L,E4C767,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3   Kulim Kedah MY 09000 "
MA-L,902D77,Edgecore Americas Networking Corporation,20 Mason Irvine CA US 92618 
MA-L,6CFBED,GN Audio A/S,Lautrupbjerg 7 Ballerup  DK DK-2750 
MA-L,E4F27C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,DC7CF7,"China Mobile Group Device Co.,Ltd.","32 Xuanwumen West Street,Xicheng District Beijing  CN 100053 "
MA-L,906C4B,Advance Security Electronics,8228 NW South River Dr Medley FL US 33166 
MA-L,D48AFC,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,E465B8,Espressif Inc.,"Room 204, Building 2, 690 Bibo Rd, Pudong New Area Shanghai Shanghai CN 201203 "
MA-L,E001C7,"Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park Hui Zhou Guangdong CN 516025 "
MA-L,B4DF91,Cisco Meraki,500 Terry A. Francois Blvd San Francisco  US 94158 
MA-L,98EE8C,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,FC500C,Sitehop Ltd,"The Workstation, 15 Paternoster Row Sheffield South Yorkshire GB S1 2BX "
MA-L,50E478,"Sichuan AI-Link Technology Co., Ltd.","Anzhou, Industrial Park Mianyang Sichuan CN 622650 "
MA-L,90C710,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,48D475,Lampuga GmbH,Werkstr. 11 Rastatt  DE 76437 
MA-L,601AC7,"Nintendo Co.,Ltd","11-1 HOKOTATE-CHO KAMITOBA,MINAMI-KU KYOTO KYOTO JP 601-8501 "
MA-L,48DA35,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,A881FE,"Luxul Tech Co., Ltd","9/F, Yihua Commercial Building, No. 16, Jiuyi Road, Licheng District, Quanzhou, Fujian  Quanzhou Fujian CN 362000 "
MA-L,649A08,"Shenzhen SuperElectron Technology Co.,Ltd.","Layer 13,Haosheng Business Center,Dongbin Road,Nanshan District Shenzhen guangdong CN 518052 "
MA-L,50F222,EM Microelectronic,Rue des Sors 3 Marin-Epagnier Neuchatel CH 2074 
MA-L,307A57,Accuenergy (CANADA) Inc,22 Howden Rd Scarborough Ontario CA M1R 3E4 
MA-L,CCEB5E,Xiaomi Communications Co Ltd,"#019, 9th Floor, Building 6, 33 Xi'erqi Middle Road Beijing Haidian District CN 100085 "
MA-L,60C78D,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,DC5193,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,7478A6,"Fortinet, Inc.",899 Kifer Road Sunnyvale  US 94086 
MA-L,001982,SmarDTV Corporation,147 Avenue du Jujubier ZI Athelia IV La Ciotat CH 13600 
MA-L,50FE0C,AzureWave Technology Inc.,"8F., No. 94, Baozhong Rd. New Taipei City Taiwan TW 231 "
MA-L,BCFD0C,Shenzhen Phaten Tech. LTD,"C-6 ideamonto industril 7002 Songbai Road Guangming District Shenzhen City Guangdong, China Shenzhen  CN 518108 "
MA-L,1865C7,Dongguan YIMO Technology Co.LTD,"No.67, Qingxi Section, Qingzhang Road, Qingxi Town, Dongguan City, Guangdong Province Dongguan Guangdong CN 523660 "
MA-L,0C01C8,"DENSO Co.,Ltd","Twin21 MIDTower(24th floor),2-1-61 Shiromi,Chuo-ku,Osaka-shi Osaka JP 540-6124 "
MA-L,F42E48,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,ACD75B,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
MA-L,B4C2E0,"Bouffalo Lab (Nanjing) Co., Ltd.","5F, Gongxiang Space, No.100 Tuanjie Road, Nanjing, China Nanjing Jiangsu CN 211800 "
MA-L,040986,Arcadyan Corporation,"No.8, Sec.2, Guangfu Rd. Hsinchu City Hsinchu TW 30071 "
MA-L,481BA4,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,F0EE7A,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,203AEB,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,5876B3,"Ubee Interactive Co., Limited","Flat/RM 1202, 12/F, AT Tower, 180 Electric Road North Point  HK 00000 "
MA-L,E87072,"Hangzhou BroadLink Technology Co.,Ltd","Room 101,1/F,Unit C,Building 1,No.57 Jiang'er Road,Changhe Street,Binjiang District,Hangzhou,Zhejiang,P.R.China Hangzhou Zhejiang CN 310052 "
MA-L,D8DAF1,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,54443B,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,5C7075,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,CC03FA,Vantiva USA LLC,5030 Sugarloaf Parkway Bldg 6 Lawrenceville GA US 30044 
